1 15 #
22 27 2165.322580645161 3268.9393939393935
22 27 2179.8387096774195 3420.454545454545
22 27 2354.032258064516 3448.863636363636
22 27 2441.1290322580644 3448.863636363636
22 27 2462.9032258064517 3164.772727272727
22 27 2462.9032258064517 2890.151515151515
22 27 2459.2741935483873 2426.1363636363635
22 27 2459.2741935483873 2075.7575757575755
22 27 2430.241935483871 1706.4393939393935
22 27 2401.209677419355 1384.4696969696968
22 27 2372.177419354839 1043.560606060606
22 27 2292.3387096774195 712.121212121212
22 27 2179.8387096774195 532.1969696969695
22 27 2063.709677419355 352.27272727272725
22 27 1940.3225806451612 200.75757575757575
22 27 1791.532258064516 125.0
23 25 #
23 25 1791.532258064516 219.69696969696963
23 25 1893.1451612903224 371.21212121212113
23 25 1969.3548387096776 589.0151515151515
23 25 1991.1290322580646 759.4696969696968
23 25 2038.3064516129032 1062.4999999999998
23 25 2038.3064516129032 1498.1060606060605
23 25 2041.9354838709678 1848.484848484848
23 25 2041.9354838709678 2378.7878787878785
23 25 2041.9354838709678 2823.863636363636
23 25 2041.9354838709678 3145.833333333333
23 25 2056.451612903226 3335.2272727272725
23 25 2179.8387096774195 3382.575757575757
23 25 2346.7741935483873 3382.575757575757
23 25 2426.612903225807 3268.9393939393935
23 25 2426.612903225807 2928.0303030303025
23 25 2415.7258064516127 2530.30303030303
23 25 2386.6935483870966 2179.924242424242
23 25 2375.8064516129034 1886.363636363636
23 25 2372.177419354839 1479.1666666666665
23 25 2332.258064516129 1081.4393939393938
23 25 2252.4193548387098 759.4696969696968
23 25 2132.6612903225805 541.6666666666665
23 25 1998.3870967741937 399.621212121212
23 25 1911.2903225806454 285.9848484848484
23 25 1791.532258064516 210.22727272727263
24 29 #
24 29 1798.7903225806454 181.81818181818176
24 29 1896.774193548387 333.33333333333326
24 29 1962.0967741935485 503.78787878787875
24 29 2027.4193548387098 721.590909090909
24 29 2049.1935483870966 1053.030303030303
24 29 2074.5967741935483 1384.4696969696968
24 29 2070.967741935484 1630.681818181818
24 29 2070.967741935484 1971.590909090909
24 29 2063.709677419355 2388.2575757575755
24 29 2063.709677419355 2757.575757575757
24 29 2063.709677419355 3070.075757575757
24 29 2067.3387096774195 3344.6969696969695
24 29 2154.435483870968 3382.575757575757
24 29 2285.0806451612902 3382.575757575757
24 29 2325.0 3316.2878787878785
24 29 2346.7741935483873 3107.954545454545
24 29 2346.7741935483873 2748.1060606060605
24 29 2346.7741935483873 2520.833333333333
24 29 2346.7741935483873 2274.621212121212
24 29 2350.4032258064517 2066.2878787878785
24 29 2350.4032258064517 1791.6666666666665
24 29 2350.4032258064517 1526.5151515151513
