1 12 #
10 23 2838.709677419355 1592.5324675324678
10 23 2919.354838709678 1495.1298701298704
10 23 2959.677419354839 1357.1428571428573
10 23 2861.3911290322585 1024.3506493506495
10 23 2765.625 707.7922077922078
10 23 2667.3387096774195 480.5194805194806
10 23 2541.3306451612907 375.00000000000006
10 23 2440.5241935483873 188.31168831168833
10 23 2306.9556451612907 123.3766233766234
10 23 2178.427419354839 42.20779220779224
10 23 2100.302419354839 50.324675324675354
10 23 2059.9798387096776 107.14285714285717
10 23 2090.2217741935488 212.66233766233773
11 20 #
11 20 1933.9717741935488 139.61038961038963
11 20 2062.5000000000005 237.01298701298703
11 20 2185.987903225807 358.7662337662338
11 20 2299.395161290323 472.40259740259745
11 20 2367.4395161290327 602.2727272727273
11 20 2395.161290322581 845.7792207792209
11 20 2420.362903225807 1016.2337662337663
11 20 2546.3709677419356 1089.2857142857144
11 20 2707.661290322581 1089.2857142857144
11 20 2821.068548387097 1016.2337662337663
11 20 2873.991935483871 902.5974025974026
11 20 2740.4233870967746 707.7922077922078
11 20 2614.4153225806454 488.6363636363637
11 20 2533.770161290323 334.4155844155844
11 20 2422.8830645161293 147.7272727272728
11 20 2289.3145161290327 123.3766233766234
11 20 2135.584677419355 115.25974025974034
11 20 1994.4556451612907 115.25974025974034
11 20 1939.0120967741939 115.25974025974034
11 20 1928.9314516129034 131.49350649350657
12 20 #
12 20 1999.4959677419358 123.3766233766234
12 20 2100.302419354839 228.89610389610397
12 20 2208.66935483871 366.883116883117
12 20 2342.237903225807 569.8051948051948
12 20 2390.1209677419356 813.3116883116884
12 20 2440.5241935483873 959.4155844155846
12 20 2536.2903225806454 1000.0
12 20 2619.4556451612907 1105.5194805194806
12 20 2725.302419354839 1105.5194805194806
12 20 2828.629032258065 1000.0
12 20 2901.7137096774195 926.9480519480521
12 20 2823.5887096774195 715.909090909091
12 20 2715.2217741935488 496.75324675324686
12 20 2579.1330645161293 391.2337662337663
12 20 2463.2056451612907 253.24675324675326
12 20 2362.3991935483873 212.66233766233773
12 20 2254.0322580645166 139.61038961038963
12 20 2122.9838709677424 90.90909090909093
12 20 2037.2983870967746 99.02597402597411
12 20 1999.4959677419358 107.14285714285717
13 23 #
13 23 2039.818548387097 180.19480519480527
13 23 2135.584677419355 253.24675324675326
13 23 2226.310483870968 326.29870129870136
13 23 2299.395161290323 383.11688311688323
13 23 2352.318548387097 488.6363636363637
13 23 2415.3225806451615 732.1428571428571
13 23 2445.5645161290327 918.831168831169
13 23 2463.2056451612907 1137.987012987013
13 23 2501.0080645161293 1340.909090909091
13 23 2576.612903225807 1446.4285714285716
13 23 2659.7782258064517 1446.4285714285716
13 23 2795.866935483871 1446.4285714285716
13 23 2886.592741935484 1405.844155844156
13 23 2919.354838709678 1332.7922077922078
13 23 2936.9959677419356 1211.0389610389611
13 23 2848.7903225806454 894.4805194805197
13 23 2760.584677419355 667.2077922077922
13 23 2644.657258064516 431.8181818181819
13 23 2488.4072580645166 253.24675324675326
13 23 2299.395161290323 180.19480519480527
13 23 2150.7056451612907 90.90909090909093
13 23 2039.818548387097 90.90909090909093
13 23 2039.818548387097 204.54545454545456
14 21 #
14 21 1944.052419354839 147.7272727272728
14 21 2092.741935483871 204.54545454545456
14 21 2216.2298387096776 318.1818181818182
14 21 2309.475806451613 496.75324675324686
14 21 2382.560483870968 577.922077922078
14 21 2443.04435483871 829.5454545454545
14 21 2448.084677419355 1081.1688311688313
14 21 2566.5322580645166 1219.1558441558443
14 21 2700.100806451613 1219.1558441558443
14 21 2858.8709677419356 1178.5714285714287
14 21 2904.2338709677424 1048.7012987012988
14 21 2873.991935483871 805.1948051948052
14 21 2725.302419354839 610.3896103896104
14 21 2606.854838709678 439.935064935065
14 21 2518.6491935483873 326.29870129870136
14 21 2400.2016129032263 237.01298701298703
14 21 2289.3145161290327 155.84415584415586
14 21 2135.584677419355 123.3766233766234
14 21 2029.7379032258068 115.25974025974034
14 21 1949.0927419354841 115.25974025974034
14 21 1944.052419354839 163.96103896103904
15 23 #
15 23 2112.9032258064517 180.19480519480527
15 23 2248.991935483871 293.8311688311689
15 23 2364.91935483871 407.4675324675325
15 23 2432.9637096774195 512.987012987013
15 23 2493.4475806451615 659.0909090909092
15 23 2536.2903225806454 894.4805194805197
15 23 2548.8911290322585 1121.753246753247
15 23 2614.4153225806454 1308.4415584415585
15 23 2760.584677419355 1373.3766233766235
15 23 2891.6330645161293 1340.909090909091
15 23 2964.717741935484 1308.4415584415585
15 23 2982.3588709677424 1227.2727272727275
15 23 2984.879032258065 1048.7012987012988
15 23 2884.0725806451615 813.3116883116884
15 23 2818.5483870967746 521.1038961038962
15 23 2727.8225806451615 415.5844155844157
15 23 2664.818548387097 245.1298701298702
15 23 2574.092741935484 245.1298701298702
15 23 2465.725806451613 155.84415584415586
15 23 2327.116935483871 139.61038961038963
15 23 2228.8306451612907 131.49350649350657
15 23 2130.54435483871 115.25974025974034
15 23 2115.4233870967746 196.4285714285715
16 22 #
16 22 2072.5806451612907 163.96103896103904
16 22 2160.786290322581 237.01298701298703
16 22 2251.512096774194 293.8311688311689
16 22 2337.1975806451615 375.00000000000006
16 22 2407.762096774194 512.987012987013
16 22 2468.2459677419356 707.7922077922078
16 22 2501.0080645161293 935.0649350649351
16 22 2521.16935483871 1170.4545454545455
16 22 2581.6532258064517 1397.727272727273
16 22 2722.782258064516 1470.7792207792209
16 22 2861.3911290322585 1454.5454545454547
16 22 2936.9959677419356 1405.844155844156
16 22 2969.7580645161293 1251.6233766233768
16 22 2929.435483870968 1016.2337662337663
16 22 2826.1088709677424 756.4935064935066
16 22 2737.9032258064517 521.1038961038962
16 22 2589.2137096774195 310.0649350649351
16 22 2450.6048387096776 212.66233766233773
16 22 2311.9959677419356 131.49350649350657
16 22 2196.068548387097 90.90909090909093
16 22 2100.302419354839 82.79220779220782
16 22 2075.100806451613 163.96103896103904
17 24 #
17 24 2037.2983870967746 147.7272727272728
17 24 2133.0645161290327 253.24675324675326
17 24 2251.512096774194 350.64935064935077
17 24 2354.8387096774195 439.935064935065
17 24 2420.362903225807 545.4545454545455
17 24 2465.725806451613 650.9740259740261
17 24 2478.3266129032263 862.012987012987
17 24 2501.0080645161293 1073.051948051948
17 24 2546.3709677419356 1292.2077922077924
17 24 2642.137096774194 1332.7922077922078
17 24 2732.862903225807 1340.909090909091
17 24 2816.0282258064517 1340.909090909091
17 24 2894.1532258064517 1316.5584415584417
17 24 2939.5161290322585 1154.2207792207794
17 24 2889.112903225807 967.5324675324675
17 24 2760.584677419355 715.909090909091
17 24 2682.459677419355 504.8701298701299
17 24 2619.4556451612907 391.2337662337663
17 24 2518.6491935483873 285.7142857142857
17 24 2415.3225806451615 204.54545454545456
17 24 2286.79435483871 123.3766233766234
17 24 2160.786290322581 66.55844155844159
17 24 2067.5403225806454 99.02597402597411
17 24 2039.818548387097 147.7272727272728
18 20 #
18 20 1981.8548387096778 131.49350649350657
18 20 2120.4637096774195 220.7792207792208
18 20 2269.1532258064517 285.7142857142857
18 20 2405.241935483871 480.5194805194806
18 20 2458.1653225806454 594.1558441558443
18 20 2458.1653225806454 821.4285714285716
18 20 2488.4072580645166 1073.051948051948
18 20 2705.1411290322585 1137.987012987013
18 20 2846.270161290323 1113.6363636363637
18 20 2894.1532258064517 991.883116883117
18 20 2805.9475806451615 756.4935064935066
18 20 2697.5806451612907 529.2207792207794
18 20 2616.935483870968 326.29870129870136
18 20 2536.2903225806454 293.8311688311689
18 20 2468.2459677419356 196.4285714285715
18 20 2412.802419354839 155.84415584415586
18 20 2339.717741935484 131.49350649350657
18 20 2228.8306451612907 123.3766233766234
18 20 2090.2217741935488 99.02597402597411
18 20 1984.3750000000002 115.25974025974034
19 23 #
19 23 1933.9717741935488 318.1818181818182
19 23 1999.4959677419358 423.70129870129875
19 23 2075.100806451613 472.40259740259745
19 23 2148.185483870968 642.8571428571429
19 23 2206.1491935483873 797.077922077922
19 23 2246.4717741935488 894.4805194805197
19 23 2294.3548387096776 1032.4675324675325
19 23 2311.9959677419356 1194.805194805195
19 23 2337.1975806451615 1389.6103896103898
19 23 2352.318548387097 1600.6493506493507
19 23 2352.318548387097 1795.4545454545457
19 23 2498.487903225807 1868.5064935064936
19 23 2644.657258064516 1868.5064935064936
19 23 2747.9838709677424 1868.5064935064936
19 23 2805.9475806451615 1771.1038961038964
19 23 2672.379032258065 1324.6753246753249
19 23 2574.092741935484 951.2987012987014
19 23 2427.9233870967746 431.8181818181819
19 23 2286.79435483871 285.7142857142857
19 23 2090.2217741935488 155.84415584415586
19 23 1974.29435483871 147.7272727272728
19 23 1921.3709677419358 139.61038961038963
19 23 1928.9314516129034 326.29870129870136
20 22 #
20 22 1896.16935483871 253.24675324675326
20 22 2009.576612903226 334.4155844155844
20 22 2125.504032258065 529.2207792207794
20 22 2233.8709677419356 797.077922077922
20 22 2286.79435483871 1016.2337662337663
20 22 2324.5967741935488 1194.805194805195
